frame,t,x,y,dx,dy,area
0,0.0,1888.8,999.6117647058824,-31.200000000000045,-80.38823529411764,85
4,0.03333333333333333,1888.835294117647,999.5882352941176,-31.16470588235302,-80.41176470588243,85
8,0.06666666666666667,1888.7926829268292,999.3170731707316,-31.20731707317077,-80.68292682926835,82
12,0.1,1888.5897435897436,998.948717948718,-31.410256410256352,-81.05128205128199,78
16,0.13333333333333333,1889.1951219512196,999.280487804878,-30.804878048780438,-80.71951219512198,82
20,0.16666666666666666,1888.987012987013,998.9480519480519,-31.01298701298697,-81.0519480519481,77
24,0.2,1888.8169014084508,998.661971830986,-31.183098591549196,-81.33802816901402,71
28,0.23333333333333334,1888.3333333333333,998.1666666666667,-31.666666666666742,-81.83333333333326,78
32,0.26666666666666666,1888.4177215189873,998.0886075949368,-31.582278481012736,-81.91139240506322,79
36,0.3,1888.4605263157896,997.9868421052631,-31.539473684210407,-82.01315789473688,76
40,0.3333333333333333,1888.9868421052631,997.9078947368421,-31.013157894736878,-82.09210526315792,76
44,0.36666666666666664,1889.0533333333333,997.9066666666668,-30.946666666666715,-82.09333333333325,75
48,0.4,1888.8428571428572,997.6285714285714,-31.157142857142844,-82.37142857142862,70
52,0.43333333333333335,1888.8428571428572,997.6285714285714,-31.157142857142844,-82.37142857142862,70
56,0.4666666666666667,1888.6081081081081,997.4324324324325,-31.391891891891873,-82.5675675675675,74
60,0.5,1888.4430379746836,997.0126582278481,-31.556962025316352,-82.98734177215192,79
64,0.5333333333333333,1888.6666666666667,996.7820512820513,-31.333333333333258,-83.21794871794873,78
68,0.5666666666666667,1889.2467532467533,996.8831168831168,-30.753246753246685,-83.11688311688317,77
72,0.6,1888.840579710145,996.5072463768116,-31.159420289855007,-83.49275362318838,69
76,0.6333333333333333,1889.1690140845071,996.5633802816901,-30.830985915492874,-83.43661971830988,71
80,0.6666666666666666,1889.2465753424658,996.6712328767123,-30.753424657534197,-83.32876712328766,73
84,0.7,1889.2142857142858,996.4428571428571,-30.78571428571422,-83.55714285714294,70
88,0.7333333333333333,1888.2916666666667,995.9444444444445,-31.708333333333258,-84.05555555555554,72
92,0.7666666666666667,1888.8765432098764,995.9135802469136,-31.123456790123555,-84.08641975308637,81
96,0.8,1888.5128205128206,995.7435897435897,-31.487179487179446,-84.25641025641028,78
100,0.8333333333333334,1888.5135135135135,995.6216216216217,-31.486486486486456,-84.37837837837833,74
104,0.8666666666666667,1888.8205128205127,995.7179487179487,-31.179487179487296,-84.28205128205127,78
108,0.9,1889.1527777777778,995.5972222222222,-30.84722222222217,-84.40277777777783,72
112,0.9333333333333333,1889.1527777777778,995.5972222222222,-30.84722222222217,-84.40277777777783,72
116,0.9666666666666667,1889.1527777777778,995.5972222222222,-30.84722222222217,-84.40277777777783,72
120,1.0,1888.7733333333333,995.5066666666667,-31.226666666666688,-84.49333333333334,75
124,1.0333333333333334,1889.1527777777778,995.5972222222222,-30.84722222222217,-84.40277777777783,72
128,1.0666666666666667,1889.2297297297298,995.7027027027027,-30.770270270270203,-84.29729729729729,74
132,1.1,1889.2297297297298,995.7027027027027,-30.770270270270203,-84.29729729729729,74
136,1.1333333333333333,1889.2297297297298,995.7027027027027,-30.770270270270203,-84.29729729729729,74
140,1.1666666666666667,1889.1527777777778,995.5972222222222,-30.84722222222217,-84.40277777777783,72
144,1.2,1888.8985507246377,995.536231884058,-31.101449275362256,-84.463768115942,69
148,1.2333333333333334,1888.8985507246377,995.536231884058,-31.101449275362256,-84.463768115942,69
152,1.2666666666666666,1888.8985507246377,995.536231884058,-31.101449275362256,-84.463768115942,69
156,1.3,1888.8714285714286,995.5714285714286,-31.128571428571377,-84.42857142857144,70
160,1.3333333333333333,1888.8985507246377,995.536231884058,-31.101449275362256,-84.463768115942,69
164,1.3666666666666667,1888.8985507246377,995.536231884058,-31.101449275362256,-84.463768115942,69
168,1.4,1888.8857142857144,995.5857142857143,-31.114285714285643,-84.41428571428571,70
172,1.4333333333333333,1888.8857142857144,995.5857142857143,-31.114285714285643,-84.41428571428571,70
176,1.4666666666666666,1888.8857142857144,995.5857142857143,-31.114285714285643,-84.41428571428571,70
180,1.5,1888.8450704225352,995.6056338028169,-31.154929577464827,-84.3943661971831,71
184,1.5333333333333334,1888.8591549295775,995.6197183098591,-31.14084507042253,-84.38028169014092,71
188,1.5666666666666667,1888.8591549295775,995.6197183098591,-31.14084507042253,-84.38028169014092,71
192,1.6,1888.8194444444443,995.6388888888889,-31.180555555555657,-84.36111111111109,72
196,1.6333333333333333,1888.8194444444443,995.6388888888889,-31.180555555555657,-84.36111111111109,72
200,1.6666666666666667,1888.8194444444443,995.6388888888889,-31.180555555555657,-84.36111111111109,72
204,1.7,1888.8194444444443,995.6388888888889,-31.180555555555657,-84.36111111111109,72
208,1.7333333333333334,1888.3506493506493,995.4415584415584,-31.64935064935071,-84.55844155844159,77
212,1.7666666666666666,1888.3108108108108,995.2162162162163,-31.689189189189165,-84.78378378378375,74
216,1.8,1887.828947368421,995.0394736842105,-32.17105263157896,-84.96052631578948,76
220,1.8333333333333333,1887.7922077922078,995.0,-32.20779220779218,-85.0,77
224,1.8666666666666667,1887.828947368421,995.0394736842105,-32.17105263157896,-84.96052631578948,76
228,1.9,1888.0694444444443,995.1388888888889,-31.930555555555657,-84.86111111111109,72
232,1.9333333333333333,1888.0694444444443,995.1388888888889,-31.930555555555657,-84.86111111111109,72
236,1.9666666666666666,1888.0694444444443,995.1388888888889,-31.930555555555657,-84.86111111111109,72
240,2.0,1887.6883116883116,994.974025974026,-32.311688311688386,-85.02597402597405,77
244,2.033333333333333,1887.64,994.9466666666667,-32.3599999999999,-85.05333333333328,75
248,2.066666666666667,1887.7631578947369,994.9736842105262,-32.23684210526312,-85.02631578947376,76
252,2.1,1887.5694444444443,994.8888888888889,-32.43055555555566,-85.11111111111109,72
256,2.1333333333333333,1887.6266666666666,995.0933333333332,-32.37333333333345,-84.90666666666675,75
260,2.1666666666666665,1887.6052631578948,995.0526315789473,-32.3947368421052,-84.94736842105272,76
264,2.2,1887.5694444444443,994.8888888888889,-32.43055555555566,-85.11111111111109,72
268,2.2333333333333334,1887.8333333333333,995.2051282051282,-32.16666666666674,-84.79487179487182,78
272,2.2666666666666666,1887.7631578947369,994.9736842105262,-32.23684210526312,-85.02631578947376,76
276,2.3,1887.6052631578948,995.0526315789473,-32.3947368421052,-84.94736842105272,76
280,2.3333333333333335,1887.8333333333333,995.2051282051282,-32.16666666666674,-84.79487179487182,78
284,2.3666666666666667,1887.7631578947369,994.9736842105262,-32.23684210526312,-85.02631578947376,76
288,2.4,1887.7866666666666,995.0133333333333,-32.21333333333337,-84.98666666666668,75
292,2.433333333333333,1887.7866666666666,995.0133333333333,-32.21333333333337,-84.98666666666668,75
296,2.466666666666667,1887.7866666666666,995.0133333333333,-32.21333333333337,-84.98666666666668,75
300,2.5,1887.7631578947369,994.9736842105262,-32.23684210526312,-85.02631578947376,76
304,2.533333333333333,1887.8875,995.15,-32.112499999999955,-84.85000000000002,80
308,2.566666666666667,1887.8875,995.15,-32.112499999999955,-84.85000000000002,80
312,2.6,1887.8333333333333,994.9230769230769,-32.16666666666674,-85.0769230769231,78
316,2.6333333333333333,1887.844155844156,994.961038961039,-32.15584415584408,-85.03896103896102,77
320,2.6666666666666665,1887.844155844156,994.961038961039,-32.15584415584408,-85.03896103896102,77
324,2.7,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
328,2.7333333333333334,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
332,2.7666666666666666,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
336,2.8,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
340,2.8333333333333335,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
344,2.8666666666666667,1887.8354430379748,994.8860759493671,-32.164556962025245,-85.11392405063293,79
348,2.9,1887.5774647887324,994.5211267605634,-32.422535211267586,-85.47887323943655,71
352,2.933333333333333,1887.8961038961038,994.8441558441559,-32.103896103896204,-85.15584415584408,77
